name;type;district_name;lat;lon
Centre Cultural La Casa Elizalde;Cultural Center;Eixample;41.394518975814755;2.165900883899018
Centre d'Urgències i Emergències Socials de Barcelona;Community Center;Sant Martí;41.399185366080964;2.201335667816197
Piscina Clapoteig Coberta;Swimming Pool;Sant Martí;41.40367975860696;2.200509712
Ecos Grup Cooperatiu;Shared Office;Eixample;41.39201045387201;2.1740526407985583
Mercat Clot;Market;Sant Martí;41.40761694241932;2.1886443723650215
Centre Cívic Casinet d'Hostafrancs;Community Center;Sants-Montjuïc;41.37785807405671;2.1432215181756806
Casal de Barri Font d'en Fargues;Neighborhood Center;Horta-Guinardó;41.424333431530485;2.1652481090205704
Museu Olímpic i de l'Esport Joan Antoni Samaranch de Barcelona;Museum;Sants-Montjuïc;41.366280925076076;2.1570941364707474
Ateneu el Poblet;Cultural Center;Eixample;41.402380861626945;2.170394303734641
Centre Esportiu Municipal Bac de Roda;Sports Center;Sant Martí;41.41438759082952;2.1940882193496254
Casal de Persones Grans del Casc Antic;Senior Center;Ciutat Vella;41.387276392325596;2.178556649761494
Biblioteca Zona Nord - Mària Sánchez;Library;Nou Barris;41.46126807109291;2.179892622
Centre Esportiu Municipal Putxet;Sports Center;Sarrià-Sant Gervasi;41.40972803896788;2.141295887779283
Biblioteca Trinitat Vella - José Barbero;Library;Sant Andreu;41.44931398700405;2.1907655514008186
Piscines Cobertes;Swimming Pool;Sant Martí;41.41201534303293;2.2132296768547914
Fundació Privada Enllaç;Community Center;Eixample;41.40215719944182;2.1692496575664832
Casal de Barri del Raval;Neighborhood Center;Ciutat Vella;41.376969254254014;2.1672378540759167
Piscines Cobertes;Swimming Pool;Sant Andreu;41.429802449252996;2.1928695656197794
Museu Frederic Marès;Museum;Ciutat Vella;41.38420549734736;2.176956852
Biblioteca Francesca Bonnemaison;Library;Ciutat Vella;41.38696803670603;2.175807607
Centre Cívic La Sagrera La Barraca;Community Center;Sant Andreu;41.42397425702554;2.1891508567064406
Centre Esportiu Municipal Júpiter;Sports Center;Sant Martí;41.41773642679193;2.2020207794886266
Piscines Cobertes;Swimming Pool;Sant Martí;41.41754994106159;2.2026435212982443
Biblioteca Horta - Can Mariner;Library;Horta-Guinardó;41.43113637814168;2.1607509372572986
Centre Cívic Joan Oliver - Pere Quart;Community Center;Les Corts;41.37933180540104;2.127776128826079
Biblioteca Ignasi Iglésias - Can Fabra;Library;Sant Andreu;41.43451246069436;2.190888481599359
Centre Cívic Can Deu;Community Center;Les Corts;41.386794007741514;2.1325216465394625
Centre Esportiu Municipal Mundet;Sports Center;Horta-Guinardó;41.43654158784715;2.1428419118859967
Castell de Torre Baró;Cultural Center;Nou Barris;41.45079189503227;2.1761305165721443
Centre de Cultura Contemporània de Barcelona;Cultural Center;Ciutat Vella;41.38391450226559;2.1668129104163323
Aula Ambiental de la Casa de l'Aigua de Trinitat Nova;Cultural Center;Nou Barris;41.45296545224615;2.188036804130217
Piscina Coberta;Swimming Pool;Ciutat Vella;41.377025357932496;2.170618325416911
Centre Cívic Can Felipa;Community Center;Sant Martí;41.40367975860696;2.200509712
Casal de Barri Transformadors;Neighborhood Center;Eixample;41.39346206793516;2.178604706991611
Piscina Esportiva Coberta;Swimming Pool;Nou Barris;41.4599194;2.1681328086399776
Biblioteca La Sagrera - Marina Clotet;Library;Sant Andreu;41.425646108743635;2.193744428022945
Casal de Barri Can Portabella;Neighborhood Center;Sant Andreu;41.42913088;2.1939367005254655
Piscina Coberta;Swimming Pool;Eixample;41.39367157911195;2.1839578397165673
Centre Esportiu Municipal Artesania;Sports Center;Nou Barris;41.44397632951782;2.1712906441052957
Piscines Cobertes;Swimming Pool;Nou Barris;41.44397632951782;2.1712906441052957
Biblioteca Fort Pienc – Ana María Moix;Library;Eixample;41.39558658720727;2.182465058010549
La Fàbrica del Sol;Cultural Center;Ciutat Vella;41.38303158;2.1912801963845494
Centre Cívic El Carmel;Community Center;Horta-Guinardó;41.42026751883118;2.1511765613690907
Refugi climàtic;Climate Shelter;Eixample;41.383652411207244;2.157854759563498
Refugi Climàtic Pati d'Escola Bressol;School / Educational;Ciutat Vella;41.382627987600735;2.167792220097284
Refugi Climàtic Pati d'Escola Bressol;School / Educational;Sants-Montjuïc;41.372137142800845;2.139359752043456
Casal Cívic i Comunitari Barcelona - Prosperitat;Community Center;Nou Barris;41.44193318571637;2.180497923
Piscines Cobertes;Swimming Pool;Sant Martí;41.41442292582599;2.194138228628761
Mercat Fort Pienc;Market;Eixample;41.39577357186832;2.182541089615223
Casal de Gent Gran Quatre Cantons;Senior Center;Sant Martí;41.40680575086897;2.2039755474775142
Piscina Coberta;Swimming Pool;Sarrià-Sant Gervasi;41.40098699374353;2.1105047906383008
Casal de Barri Verdun;Neighborhood Center;Nou Barris;41.44384506469325;2.174979662227258
Piscines Cobertes;Swimming Pool;Nou Barris;41.42652044840267;2.1770855499017805
Casal  Mas Guinardó;Neighborhood Center;Horta-Guinardó;41.41816915835005;2.1744079393214104
Refugi climàtic;Climate Shelter;Eixample;41.383652411207244;2.157854759563498
Disseny Hub Barcelona;Museum;Sant Martí;41.402601111692825;2.1880498461023428
Clínica Sant Antoni;Health Facility;Sants-Montjuïc;41.35607713194699;2.1432939430344455
Piscina Coberta;Swimming Pool;Sant Andreu;41.451474639572886;2.1931301317422927
Biblioteca Sant Antoni - Joan Oliver;Library;Eixample;41.37741627114468;2.1627959464021846
Biblioteca Sant Gervasi - Joan Maragall;Library;Sarrià-Sant Gervasi;41.40595531098417;2.1359932205138352
Casal de Gent Gran de Sant Ramon;Senior Center;Les Corts;41.37701762396752;2.113853253307032
Saló del Tinell;Cultural Center;Ciutat Vella;41.38429549;2.1772601428647365
Biblioteca Poblenou - Manuel Arranz;Library;Sant Martí;41.40140488846787;2.204542879960712
Biblioteca;Library;Ciutat Vella;41.38243904810675;2.184497630278131
Biblioteca Collserola - Josep Miracle;Library;Sarrià-Sant Gervasi;41.41538974314011;2.102546833751382
Casal Cívic i Comunitari Barcelona - La Pau;Community Center;Sant Martí;41.42276565594044;2.2089591791351286
Museu de Ciències Naturals de Barcelona;Museum;Sant Martí;41.410811330820316;2.220499449653222
El Centre de la Platja;Cultural Center;Ciutat Vella;41.382770482481085;2.1950849442696727
Casa Padellàs.  Museu d'Història de Barcelona;Museum;Ciutat Vella;41.38392070170968;2.1778263792249843
Biblioteca Gabriel García Márquez;Library;Sant Martí;41.41707455085268;2.200138583889526
Centre Comercial Arenas de Barcelona;Shopping Center;Eixample;41.376038338441205;2.1499752959539173
Centre Cultural Albareda;Cultural Center;Sants-Montjuïc;41.37402973;2.1732856508328204
Sala Polivalent de Montbau;Cultural Center;Horta-Guinardó;41.42959732707339;2.142512680988442
Refugi climàtic;Climate Shelter;Eixample;41.39525329288888;2.168611342930838
Centre Cívic  Teixonera;Community Center;Horta-Guinardó;41.422665250088244;2.1445697223611813
Centre Esportiu Municipal Vintró - Joan Alentorn;Sports Center;Sant Martí;41.406689916501364;2.1862984907086447
Centre Esportiu Municipal Parc de la Ciutadella;Sports Center;Ciutat Vella;41.38552732576981;2.1864100992429276
Biblioteca Esquerra de l'Eixample - Agustí Centelles;Library;Eixample;41.38689535147527;2.152049712385728
Centre Esportiu Municipal Cotxeres Borbó;Sports Center;Nou Barris;41.42663852034722;2.176698872
Casal Cívic i Comunitari - Horta;Community Center;Horta-Guinardó;41.42660022666088;2.1563273455132608
Piscina Coberta;Swimming Pool;Gràcia;41.39943181174806;2.1615212113893216
Centre Esportiu Municipal Olímpics Vall Hebron;Sports Center;Horta-Guinardó;41.42789677307303;2.1452465998415344
Sala Pepita Casanellas;Community Center;Sants-Montjuïc;41.36081551879032;2.137936590838529
Centre Cívic Can Basté;Community Center;Nou Barris;41.43048746;2.173233437180801
Centre Esportiu Municipal Can Ricart;Sports Center;Ciutat Vella;41.37731084646637;2.1708804895915366
Centre Esportiu Municipal Nova Icària;Sports Center;Sant Martí;41.392393882467395;2.1980208136874495
