"osm_id","name","operator","operator.type","community_centre","community_centre.for","addr.postcode","x","y","facility_category","social_facility","social_facility.for"
13084059581,"Solidar:Raum","Ochsenherz & Ouvertura","community","meeting_room",NA,1020,16.3873015,48.2192097,"community_centre",NA,NA
12129130423,"Wiener Hilfswerk, Nachbarschaftszentrum 17, Hernals",NA,NA,NA,NA,NA,16.3345311,48.2174587,"community_centre",NA,NA
344669886,"Marxer Lesestube",NA,NA,NA,NA,1030,16.389118,48.2067643,"community_centre",NA,NA
2594471073,"Nachbarschaftszentrum 3","Hilfswerk",NA,NA,NA,1030,16.3934922,48.1974996,"community_centre",NA,NA
4092622975,"Pfarrgemeinde",NA,NA,NA,NA,NA,16.3898687,48.2013002,"community_centre",NA,NA
4504101509,"Sale für Alle - Jugendzentrum","Verein Sale für Alle - Das offene Kinder- und Jugendzentrum",NA,NA,NA,1030,16.4056504,48.1976687,"community_centre",NA,NA
9139655055,"Behindertenverein Landstraße",NA,NA,"club_home",NA,NA,16.4068072,48.1960487,"community_centre",NA,NA
10819836570,"Jugend am Werk",NA,NA,"youth_centre",NA,NA,16.3993063,48.1918734,"community_centre",NA,NA
12397854559,"Seniorenhilfe Graue Panther",NA,NA,"club_home",NA,NA,16.4025116,48.1964272,"community_centre",NA,NA
1701621420,"Juvivo",NA,NA,NA,"juvenile",NA,16.3666922,48.2248667,"community_centre",NA,NA
3348354494,"Kulturzentrum 4lthangrund",NA,NA,NA,NA,1090,16.3572431,48.2318014,"community_centre",NA,NA
8568057822,"Mexicanisches Kulturinstitut",NA,NA,NA,NA,NA,16.3626653,48.2174906,"community_centre",NA,NA
9510608728,"Grenzenlos",NA,NA,NA,NA,NA,16.3545686,48.2317175,"community_centre",NA,NA
11802665315,"Seniorentreff Schlagergasse",NA,NA,NA,NA,NA,16.3500261,48.2230742,"community_centre",NA,NA
3990058313,"Institutul Cultural Român de la Viena","Institutul Cultural Român",NA,NA,NA,1040,16.374988,48.1918216,"community_centre",NA,NA
5024429572,"Zukunftshandlung","Verein Lokale Agenda 21 Wien",NA,NA,NA,1040,16.3664165,48.190906,"community_centre",NA,NA
457202745,"Ernst-Kirchweger-Haus",NA,NA,"cultural_centre",NA,1100,16.3789518,48.1775241,"community_centre",NA,NA
848389387,"Ägäisches Kulturzentrum",NA,NA,NA,NA,NA,16.3730165,48.176763,"community_centre",NA,NA
922054448,"Pfarrsaal zur allerheiligsten Dreifaltigkeit",NA,NA,NA,NA,NA,16.3683758,48.1812746,"community_centre",NA,NA
924763151,"Ungarischer Kulturverein",NA,NA,NA,NA,NA,16.3672928,48.1790427,"community_centre",NA,NA
931009451,"Avrupa Hubyarlılar Birliği",NA,NA,NA,NA,NA,16.3686637,48.1795623,"community_centre",NA,NA
945128242,"Elfischawy",NA,NA,NA,NA,NA,16.3662617,48.1764859,"community_centre",NA,NA
1156682064,"SPÖ Sektion 74: Wasserturm",NA,NA,NA,NA,1100,16.358035,48.1671106,"community_centre",NA,NA
5207084736,"JUST@OPS","Verein Wiener Jugendzentren",NA,NA,NA,1100,16.3550767,48.1557666,"community_centre",NA,NA
12246235509,"Sam-Der Österreich Kulturverein","SAM-DER Austria",NA,"cultural_centre",NA,NA,16.3709917,48.1705356,"community_centre",NA,NA
12668620417,"Kulturhaus Brotfabrik",NA,NA,"cultural_centre",NA,1100,16.3910002,48.1717586,"community_centre",NA,NA
